I need an answer.	Necesito una respuesta.
Tom liked you.	A Tom le gustabas.
It may be true.	Puede ser cierto.
Please sit.	Por favor, siéntese.
We have suppliers.	Tenemos proveedores.
You've done it!	¡Lo lograste!
Look for it.	Busca.
I ironed the handkerchief.	Planché el pañuelo.
It's a cultural thing.	Es algo cultural.
Pay attention.	Estén atentos.
What's the hurry?	¿Cuál es el apuro?
Someone's there.	Alguien está allí.
When will you come back?	¿Cuándo volverás?
I'm to blame.	Yo tengo la culpa.
I want something better.	Quiero algo mejor.
That's troubling.	Eso es preocupante.
He dozed off.	Se quedó dormido.
Are you bipolar?	¿Sois bipolares?
We're on vacation.	Estamos de vacaciones.
Prepare yourself.	Prepárate.
Let me see it.	A ver.
When can we talk?	¿Cuándo podemos hablar?
Did Tom call?	¿Ha llamado Tom?
He should thank you.	Él debería agradecerle.
You were invited.	Estabas invitado.
Lying is wrong.	Mentir está mal.
It'll rain tomorrow.	Mañana va a llover.
Tom stopped writing.	Tom dejó de escribir.
You have many friends.	Tienes muchas amigas.
What a night!	¡Qué noche!
Tom isn't prepared.	Tom no está preparado.
The summer is over.	El verano terminó.
Don't look at us.	No nos mires.
I feel your pain.	Comparto tu dolor.
Are you insane?	¿Estás loco?
Tom looks frustrated.	Tomás parece estar frustrado.
That was my choice.	Fue mi elección.
It's Tom again.	Es Tom otra vez.
I want another chance.	Quiero otra oportunidad.
I am out of work.	Estoy desempleado.
It's too early.	Es demasiado temprano.
Come on, answer quickly.	Vamos, responde rápido.
They'll understand.	Entenderán.
I'll live.	Viviré.
He's still single.	Él es soltero todavía.
It's second-hand.	Es de segunda mano.
Thanks for dinner.	Gracias por la cena.
Are you from here?	¿Eres de aquí?
She keeps secrets.	Ella guarda los secretos.
I'll visit him tomorrow.	Le visitaré mañana.
Wait!	¡Esperen!
That's terrifying.	Eso es terrorífico.
Tom almost fainted.	Tom casi se desmayó.
He died yesterday.	Se murió ayer.
I have homework.	Tengo tarea.
Tom almost cried.	Tom casi lloró.
It may seem odd.	Puede parecer raro.
Don't be melodramatic.	No seas melodramático.
He was born dumb.	Él nació estúpido.
Smell this.	Huele esto.
This bucket leaks.	Este balde pierde.
I have to know.	Tengo que saber.
Why do you study?	¿Por qué estudias?
I want to participate.	Quiero participar.
Ask your question.	Venga, pregunta.
You can rest.	Podés descansar.
I'd like some sugar.	Querría azúcar.
You're a thief.	Sos un chorro.
It was dark blue.	Era azul oscuro.
Doing it disgusts me.	Me disgusta hacerlo.
Keep your guard up.	¡Ponte en guardia!
Be confident.	Ten seguridad.
I'm confused.	Estoy confundido.
You're patient.	Sos paciente.
I was concerned.	Estaba preocupada.
They're sisters.	Son hermanas.
You know the drill.	Sabes qué hacer.
Water, please.	Agua, por favor.
No problem!	¡No hay problema!
Do you have a car?	¿Tenés auto?
I never got caught.	Nunca me pillaron.
Go away!	¡Vete ya!
Look at it.	Obsérvalo.
There's no hope.	No hay esperanza.
You're very lucky.	Tienes mucha suerte.
I am not deaf.	No soy sordo.
We're clean.	Estamos limpios.
Tom loves art.	Tom ama el arte.
Hold on.	Resista.
I'll run away.	Huiré.
I'm very popular.	Soy muy popular.
Tom is training.	Tom está entrenando.
It just faded away.	Simplemente se desvaneció.
Keep warm.	Mantente abrigado.
I'm glad to hear that.	Es bueno.
You'll find a job.	Encontrarás un empleo.
I hate fish.	Odio los peces.
Come downstairs.	Baja.
They need me.	Ellos me necesitan.
Are you kidding?	¿Estás bromeando?
It's fair.	Es justo.
It has been wonderful.	Ha sido maravilloso.
What are you celebrating?	¿Qué estáis celebrando?
