('regresalo', 'put it back')
('abandonen la nave !', 'abandon ship !')
('estamos desahuciados', 'we re goners')
('tenemos un monton de tiempo', 'we ve got plenty of time')
('tom tiene que hacer algo respecto a este problema', 'tom has to do something about this problem')
('busquemos un lugar seguro para escondernos', 'let s find a safe place to hide')
('me senti mal por el nino', 'i felt sorry for the boy')
('tom es el hermano de mary no su padre', 'tom is mary s brother not her father')
('la cultura de la droga tiene sus propias reglas', 'the drug culture has its own rules')
('tomas detesta a su vecino', 'tom hates his neighbor')
('el me gusta', 'i like him')
('excelente ! iremos juntos', 'great ! we ll go together')
('callate tom lo arruinas todo !', 'shut up tom you re ruining everything !')
('tom tiene algun dinero escondido', 'tom has some money stashed away')
('lo hago una vez a la semana', 'i do that once a week')
('quitate los zapatos antes de entrar a un templo', 'take your shoes off before entering a temple')
('por que quieres esto ?', 'why do you want this ?')
('que hiciste esta semana ?', 'what did you do this week ?')
('puede abrir la ventana ?', 'can you open the window ?')
('tengo doce', 'i m twelve')
('mi madre hace las mejores tartas del mundo', 'my mother makes the best cakes in the world')
('no pueden despedirle', 'they can t fire you')
('parece que fuera hace frio', 'it looks cold outside')
('quiero hablar con tom a solas', 'i want to talk with tom alone')
('has visto un canguro alguna vez ?', 'have you ever seen a kangaroo ?')
('queriamos desearte buena suerte', 'we wanted to wish you good luck')
('muchos de mis amigos iran alla esta noche', 'lots of my friends are going there tonight')
('japon debe importar la mayor parte de sus materias primas', 'japan has to import most of its raw materials')
('intercambiamos numeros de telefono', 'we exchanged phone numbers')
('le hemos enviado un correo electronico con un enlace de activacion', 'we sent you an email with an activation link')
('los frenos del frente no sirven', 'the front brakes don t work')
('no importa cuanto lo intente no puedo nadar hasta esa roca', 'no matter how hard i try i can t swim to that rock')
('la policia no pensaba que fuera probable que tom se hubiera suicidado', 'the police didn t think it was likely that tom had killed himself')
('por favor callate y dejame terminar', 'please be quiet and let me finish')
('ellos tuvieron muchos hijos', 'they had a lot of kids')
('tom nunca estuvo realmente enamorado de mary', 'tom was never really in love with mary')
('la parada de autobus esta al otro lado de la calle', 'the bus stop is across the street')
('no teneis buen aspecto', 'you don t look well')
('tuvo la jeta de pedirme que lo ayudara', 'he had the cheek to ask me to help him')
('todos los profesores de ingles en el colegio de mi hijo son hablantes nativos', 'all the english teachers at my son s school are native speakers')
('mantengase lejos del fuego', 'stay away from the fire')
('ve a tumbarte', 'go lie down')
('tom es todo palabras y nada de accion', 'tom is all talk and no action')
('tom heredo mucho dinero', 'tom inherited a lot of money')
('por que estas tan interesada en lo que tom piensa ?', 'why are you so interested in what tom thinks ?')
('ella le animo a escribir una novela', 'she encouraged him to write a novel')
('el perro subitamente se arrojo sobre el nino', 'the dog suddenly charged at the child')
('maria tiene ojos grandes', 'mary has big eyes')
('hay algo que tengo que hacer', 'there s something i have to do')
('boston esta cambiando', 'boston is changing')
('tom sostenia ser un experto en finanzas', 'tom claimed to be an expert in finance')
('usted sabe que yo estoy casado', 'you know i m married')
('apenas tenemos algo de agua', 'we have almost no water left')
('el perro esta muerto', 'the dog is dead')
('deje mis llaves aqui ?', 'did i leave my keys here ?')
('le tiene miedo a la muerte', 'she is afraid of death')
('muchos enfermos de cancer pierden el pelo a causa de la quimioterapia', 'many cancer patients lose their hair because of the chemotherapy')
('examine esto', 'examine this')
('que ha pasado ahora ?', 'now what s wrong ?')
('tom dijo que necesitaba dinero', 'tom said he needed money')
('no me llame', 'don t call me')
('es el mismo sombrero', 'it s the same hat')
('no te mueras tom', 'tom don t die')
('no creo que estas manchas de tinta salgan', 'i don t think these ink stains will come off')
('generalmente los japoneses son timidos', 'generally japanese people are shy')
('me tengo que poner mi ropa de trabajo', 'i have to change into my work clothes')
